Nome da Peça,Sinal,Resultado,Quilometragem,Condições de Uso
Cilindro mestre,falta de resposta,Problemas no sistema de freio,78000,uso em estrada
Cilindro mestre,vazamento de fluido,Vazamento na junta do cilindro,79000,uso misto
Cilindro mestre,barulho ao frear,Cilindro com falha,80000,uso urbano
Cilindro mestre,falta de pressão,Problemas no sistema de freio,81000,uso em estrada
Cilindro mestre,barulho ao frear,Cilindro com falha,82000,uso misto
Cilindro mestre,fluido de freio baixo,Vazamento no cilindro mestre,83000,uso urbano
Cilindro mestre,vazamento de fluido,Vazamento na junta do cilindro,84000,uso em estrada
Cilindro mestre,sistema de freio mushy,Ar no sistema de freio,85000,uso misto
Cilindro mestre,dificuldade em engatar marcha,Problemas no cilindro mestre,86000,uso urbano
Cilindro mestre,freios com resposta lenta,Desgaste do cilindro mestre,87000,uso urbano
Coxim da suspensão,barulho ao acelerar,Coxim da suspensão precisando de lubrificação,92000,uso em estrada
Coxim da suspensão,perda de estabilidade,Suspensão desajustada devido ao coxim,93000,uso misto
Coxim da suspensão,ruído ao passar por lombadas,Coxim da suspensão danificado,94000,uso urbano
Coxim da suspensão,vibração na carroceria,Coxim com folga,95000,uso em estrada
Coxim da suspensão,desvio na direção,Coxim com desgaste excessivo,96000,uso misto
Coxim da suspensão,barulho ao frear,Coxim danificado causando ruído,97000,uso urbano
Coxim da suspensão,instabilidade em curvas,Coxim comprometido,98000,uso em estrada
Coxim da suspensão,ruído ao dirigir,Coxim com desgaste acentuado,99000,uso misto
Coxim da suspensão,desgaste irregular,Suspensão com problemas de alinhamento,100000,uso urbano
Coxim da suspensão,barulho ao passar em valetas,Coxim mal fixado,101000,uso urbano
Compressor de ar condicionado,não liga,Problema elétrico no compressor,102000,uso em estrada
Compressor de ar condicionado,ruído excessivo,Desgaste nas peças internas do compressor,103000,uso misto
Compressor de ar condicionado,ar não frio,Falta de gás refrigerante,104000,uso urbano
Compressor de ar condicionado,cheiro de queimado,Falha no sistema de lubrificação do compressor,105000,uso em estrada
Compressor de ar condicionado,pressão irregular,Problema na válvula de controle,106000,uso misto
Compressor de ar condicionado,ar com mau cheiro,Problema no filtro do ar,107000,uso urbano
Compressor de ar condicionado,vazamento de refrigerante,Vazamento na mangueira,108000,uso em estrada
Compressor de ar condicionado,flutuação de temperatura,Problema no termostato,109000,uso misto
Compressor de ar condicionado,ruído ao ligar,Falha no rolamento do compressor,110000,uso urbano
Compressor de ar condicionado,perda de eficiência,Obstrução no condensador,111000,uso urbano
Disco de freio,ruído ao frear,Disco de freio empenado,112000,uso em estrada
Disco de freio,vibração ao frear,Disco de freio desgastado,113000,uso misto
Disco de freio,perda de eficiência de frenagem,Disco de freio com desgaste irregular,114000,uso urbano
Disco de freio,fumaça ao frear,Disco de freio superaquecido,115000,uso em estrada
Disco de freio,cheiro de queimado,Disco de freio danificado,116000,uso misto
Disco de freio,freio vibra ao aplicar,Disco de freio empenado,117000,uso urbano
Disco de freio,ruído ao girar,Disco de freio com desgaste irregular,118000,uso em estrada
Disco de freio,freio arranha,Disco de freio mal instalado,119000,uso misto
Disco de freio,desgaste em um lado,Desbalanceamento do sistema de freio,120000,uso urbano
Disco de freio,barulho ao frear,Disco de freio com desgaste irregular,121000,uso urbano
Eixo de Transmissão,barulho ao desacelerar,Desgaste na junta do eixo,122000,uso em estrada
Eixo de Transmissão,vibração ao acelerar,Eixo desalinhado,123000,uso misto
Eixo de Transmissão,falta de lubrificação,Problema na graxa do eixo,124000,uso urbano
Eixo de Transmissão,ruído em curvas,Eixo com folga,125000,uso em estrada
Eixo de Transmissão,barulho ao passar em buracos,Eixo com problema estrutural,126000,uso misto
Eixo de Transmissão,ruído ao girar,Eixo danificado,127000,uso urbano
Eixo de Transmissão,desvio ao acelerar,Eixo mal instalado,128000,uso em estrada
Eixo de Transmissão,vibração em marcha lenta,Eixo com folga nas juntas,129000,uso misto
Eixo de Transmissão,barulho metálico,Desgaste nos suportes do eixo,130000,uso urbano
Eixo de Transmissão,problemas ao trocar de marcha,Eixo comprometido,131000,uso urbano
Filtro de ar,ruído no motor,Filtro de ar sujo,50000,uso em estrada
Filtro de ar,perda de potência,Filtro de ar entupido,52000,uso misto
Filtro de ar,consumo elevado,Filtro de ar danificado,54000,uso urbano
Filtro de ar,cheiro de gasolina,Filtro de ar obstruído,56000,uso em estrada
Filtro de ar,dificuldade de aceleração,Filtro de ar muito sujo,58000,uso misto
Filtro de ar,ruído excessivo,Filtro de ar desgastado,60000,uso urbano
Filtro de ar,odor estranho,Filtro de ar contaminado,62000,uso em estrada
Filtro de ar,limitação na passagem de ar,Filtro de ar entupido,64000,uso misto
Filtro de ar,vazamento de ar,Filtro de ar mal instalado,66000,uso urbano
Filtro de ar,acúmulo de sujeira,Filtro de ar não trocado regularmente,68000,uso misto
Filtro de óleo,fuga de óleo,Filtro de óleo danificado,70000,uso em estrada
Filtro de óleo,motor barulhento,Filtro de óleo entupido,72000,uso urbano
Filtro de óleo,perda de pressão,Filtro de óleo obstruído,74000,uso em estrada
Filtro de óleo,cheiro de queimado,Filtro de óleo desgastado,76000,uso misto
Filtro de óleo,aumento do consumo de óleo,Filtro de óleo velho,78000,uso urbano
Filtro de óleo,vazamento de fluido,Filtro de óleo mal instalado,80000,uso em estrada
Filtro de óleo,queda de pressão,Filtro de óleo sujo,82000,uso misto
Filtro de óleo,ruído no motor,Filtro de óleo com falha,84000,uso urbano
Filtro de óleo,cheiro de combustível,Filtro de óleo contaminado,86000,uso em estrada
Filtro de óleo,indicação de troca,Filtro de óleo ultrapassado,88000,uso urbano
Filtro de combustível,dificuldade de partida,Filtro de combustível sujo,90000,uso em estrada
Filtro de combustível,fuga de combustível,Filtro de combustível danificado,92000,uso misto
Filtro de combustível,consumo elevado,Filtro de combustível obstruído,94000,uso urbano
Filtro de combustível,ruído na bomba de combustível,Filtro de combustível entupido,96000,uso em estrada
Filtro de combustível,ar no sistema,Filtro de combustível velho,98000,uso misto
Filtro de combustível,dificuldade em aceleração,Filtro de combustível contaminado,100000,uso urbano
Filtro de combustível,barulho ao ligar a bomba,Filtro de combustível danificado,102000,uso em estrada
Filtro de combustível,perda de potência,Filtro de combustível entupido,104000,uso misto
Filtro de combustível,vazamento de combustível,Filtro de combustível mal instalado,106000,uso urbano
Filtro de combustível,cheiro forte de combustível,Filtro de combustível velho,108000,uso urbano
Mola da suspensão,barulho ao passar em lombadas,Mola da suspensão quebrada,110000,uso em estrada
Mola da suspensão,vibração na carroceria,Mola da suspensão desgastada,112000,uso misto
Mola da suspensão,perda de estabilidade,Mola da suspensão com folga,114000,uso urbano
Mola da suspensão,desvio na direção,Mola da suspensão danificada,116000,uso em estrada
Mola da suspensão,barulho ao dirigir,Mola da suspensão em falta,118000,uso misto
Mola da suspensão,ruído ao acelerar,Mola da suspensão com desgaste excessivo,120000,uso urbano
Mola da suspensão,instabilidade em curvas,Mola da suspensão comprometida,122000,uso em estrada
Mola da suspensão,barulho ao fazer curvas,Mola da suspensão com folga,124000,uso misto
Mola da suspensão,cheiro de queimado,Mola da suspensão superaquecida,126000,uso urbano
Mola da suspensão,desgaste irregular,Mola da suspensão danificada,128000,uso urbano
Pastilhas de freio,ruído ao frear,Pastilhas de freio desgastadas,130000,uso em estrada
Pastilhas de freio,dificuldade em parar,Pastilhas de freio danificadas,132000,uso misto
Pastilhas de freio,vibração no pedal de freio,Pastilhas de freio com desgaste irregular,134000,uso urbano
Pastilhas de freio,barulho de atrito,Pastilhas de freio mal instaladas,136000,uso em estrada
Pastilhas de freio,vibração ao frear,Pastilhas de freio com desgaste irregular,138000,uso misto
Pastilhas de freio,barulho de metal ao frear,Pastilhas de freio desgastadas,140000,uso urbano
Pastilhas de freio,dificuldade para parar,Pastilhas de freio danificadas,142000,uso em estrada
Pastilhas de freio,cheiro de queimado,Pastilhas de freio superaquecidas,144000,uso urbano
Pastilhas de freio,ruído ao frear,Pastilhas de freio com falha,148000,uso misto
Pastilhas de freio,ruído ao soltar o pedal,Pastilhas de freio com desgaste excessivo,146000,uso urbano
Roda,vibração ao dirigir,Roda desbalanceada,50000,uso em estrada
Roda,ruído excessivo,Roda danificada,52000,uso misto
Roda,perda de pressão,Roda com furo,54000,uso urbano
Roda,desvio na direção,Roda mal alinhada,56000,uso em estrada
Roda,barulho ao passar em buracos,Roda solta,58000,uso misto
Roda,ruído ao dirigir,Roda danificada,60000,uso urbano
Roda,desvio ao dirigir,Roda mal alinhada,62000,uso em estrada
Roda,perda de pressão,Roda com furo,64000,uso misto
Roda,vibração ao passar em alta velocidade,Roda desbalanceada,66000,uso urbano
Roda,ruído ao acelerar,Roda com desgaste irregular,68000,uso em estrada
Bomba de água,dificuldade de partida,Problemas na bomba de água,90000,uso urbano
Bomba de água,vazamento de água,Problemas na bomba de água,91000,uso urbano
Bomba de água,som anômalo,Problemas na bomba de água,92000,uso urbano
Bomba de água,ruído excessivo,Problemas na bomba de água,93000,uso urbano
Bomba de água,mau funcionamento,Problemas na bomba de água,94000,uso urbano
Roda,ruído excessivo,Roda danificada,52000,uso em estrada
Roda,ruído ao dirigir,Roda danificada,60000,uso urbano
Roda,desvio na direção,Roda danificada,58000,uso em estrada
Roda,desvio ao dirigir,Roda danificada,64000,uso em estrada
Roda,desgaste irregular,Roda danificada,55000,uso em cidade
Roda,mal alinhada,Roda mal alinhada,56000,uso urbano
Roda,desvio no volante,Roda mal alinhada,62000,uso urbano
Roda,ruído ao virar,Roda mal alinhada,60000,uso em estrada
Roda,desvio em linha reta,Roda mal alinhada,63000,uso urbano
Mola da suspensão,desvio na direção,Mola da suspensão danificada,128000,uso em estrada
Mola da suspensão,desgaste irregular,Mola da suspensão danificada,130000,uso urbano
Mola da suspensão,ruído ao passar por buracos,Mola da suspensão danificada,135000,uso em estrada
Mola da suspensão,suspensão rígida,Mola da suspensão danificada,140000,uso urbano
Mola da suspensão,mau funcionamento,Mola da suspensão danificada,145000,uso em estrada
